n_ref	model	mean_mcc	sd_mcc
1	kNN	0.798817848742465	0.257235581328418
1	Random Forest	0.740140605798246	0.30974856944617
1	SVM	0.721346740918189	0.284015006059162
2	kNN	0.827430915642836	0.259170781579525
2	Random Forest	0.805976493815639	0.256201653134855
2	SVM	0.765514210400393	0.279975844485036
3	kNN	0.876437396566623	0.199662038414917
3	Random Forest	0.796322821819254	0.30777787529497
3	SVM	0.785470639832009	0.27985277769797
4	kNN	0.84068276647108	0.240028357027667
4	Random Forest	0.80584857376248	0.297068194090623
4	SVM	0.800592388133572	0.272018167390868
5	kNN	0.857469907642325	0.237342484630638
5	Random Forest	0.810104744288598	0.299908332684289
5	SVM	0.796336510555364	0.281907784729422
6	kNN	0.890808107598058	0.192861668814982
6	Random Forest	0.807396959661109	0.302770229297136
6	SVM	0.798493397442807	0.284049935567652
